詞彙,釋義,例句
54,無視,不要54我啦嗚嗚嗚
80,霸凌,你以為這樣80別人很好玩嗎？
484,「是不是」的諧音。,你484忘記等等交作業了？
543,「五四三」的意思，台灣話常用片語，意旨沒有意義、沒有內容的話。,你別聽他在那邊543，聽我一勸，不要去那種聲色場所。
666,「溜」的諧音詞。比喻厲害、順利、順暢的意思。,這位主任還會用ChatGPT翻譯文獻真是666。
948,「就是吧」的意思,甲：這次旅行的安排都有些混亂呢。乙：948，不如我們再重新計劃一下。
1450,用來諷刺偏袒民進黨的網路水軍，後來演變為台灣的網軍的代名詞,每次只要一出事，1450馬上出動洗版，根本看不出什麼是真實民意。
2266,來自台灣閩南語「離離落落」，指做事情零散，一蹋糊塗,老李的桌子上文件總是2266，哪天得好好整理一下。
2486,「白痴、傻子」的意思,他居然在會議上落入如此明顯的圈套，真是個2486。
7414,去死一死的諧音。,惡意擾亂秩序的玩家可以7414啦
9487,「就是白痴」、「就是北七」的諧音。通常是在看到別人做出愚蠢、難以理解的行為時，以一種較可愛的方式嘲諷對方的說法。,948794狂
+1,意思為也算我一個、也加我一個，常用於句末。如：「會尬聊就是聊不來+1」、「想去+1」,「看完這部電影想再刷一遍+1。」
==,顏文字，用以表達無奈、嫌棄等情緒，又作「= =」,你現在到底是怎樣 ==
～系,用於描述某人具有某方面的專業。褒意，但也有諷刺用法。 例如：「你邏輯系的喔？」，依前後文脈絡判斷，可以是稱讚對方思考邏輯清晰的意思，也可以是諷刺對方思考邏輯紊亂的意思。,「看你這麼會找到便宜機票，根本是旅遊達人系的嘛！」
～粉,支持者、擁戴者，源自「粉絲」一詞。接尾辭，置於身份或特性的名詞後。 置於身份詞之後，表示粉絲將自己視為偶像的某種身分，以此角度支持對方，如：「女友粉」、「老婆粉」。 置於特性之後，表示此類粉絲有某些特質，如「鐵粉」以「鐵」代表堅定忠誠的特質。,小李是那位歌手的「女友粉」，每天都會幻想自己和偶像一起出遊的情景。
～控,日文「コン」的音譯，表示對某類事物有強烈的偏愛，與「癖」相似。,小明是一個徹底的書控，每次去書店都要待上好幾個小時，挑選自己心儀的書籍。
～殘,表示身體機能一時無法發揮正常功能導致做錯事情。有嘲諷意味。接尾辭，置於身體部位的名詞後，並可用於自身或他人的行為。如「手殘」、「眼殘」、「腳殘」等。 例句：「對不起，手殘按到。」「你是眼殘嗎？這麼大一個字沒看到？」「腳殘沒踩好，摔了一跤。」,昨天煮飯時腦殘，居然放鹽放成了糖，大家都笑得不行。
1314,「一生一世」的諧音。往往使用在形容對他人愛慕的時間長度。 例句：這位研究者感覺愛人工智慧愛到1314。,他們在婚禮上互許承諾，願意相愛1314，不離不棄。
377,「生氣氣」的諧音。因為使用疊字，是比「生氣」較為可愛的用法。,小明吃不到他最愛的冰淇淋，整個人變得377，抱著玩偶氣鼓鼓地坐在沙發上。
404,故障、無法順利運作。源自於網路連線「404 not found」錯誤訊息。 例句：他是不是腦袋404，不知道要說什麼。,昨天的會議討論到一半，他提的方案突然就404了，大家都不知道該怎麼繼續下去。
4輪,通常指四輪汽車，與代表機車的「兩輪」相對。也作「四輪」。,「他剛買了一輛新四輪，本週末打算開車帶家人去海邊旅行。」
4ni,「是你」的諧音。往往有嘲諷對方的意思。 例句：股票達人4ni。,在電競比賽中發揮穩定，他突然開玩笑地說：「MVP肯定4ni，不用想了。」
520,「我愛你」的諧音。,每當情人節來臨，小明總會在短信中給女友發一個簡單的「520」，代表他對她深深的愛意。
54,1.我是，取54的諧音 2.無視，取54的諧音,"1. 「如果你有任何疑問，54來幫助你解答。」
2. 「他一直在說自己的觀點，但我只好54他的意見了。」"
555,「嗚嗚嗚」的諧音。哭泣聲的擬聲詞。用法不限三個「5」，可依個人情緒調整詞彙長度。如：「555你都欺負我。」「演唱會門票一張都沒搶到55555。」,昨天的考試太難了，我完全不會寫，5～～～。
666,「溜」的諧音詞。比喻厲害、順利、順暢的意思。 例句：這位主任還會用ChatGPT翻譯文獻真是666。,這位年輕設計師的創意真是666，每一件作品都讓人驚豔。
7pupu,台語「氣噗噗」的另外一種寫法。形容很生氣的樣子,小明今天因為被老師誤會而7pupu，一整天都不說話。
8+9,代指小混混、街頭流氓與黑社會小弟。,最近我發現，阿強雖然外表看起來像8+9，內心其實是個很善良的人。
8181,英文「bye bye」，再見。也作「掰掰」、「881」、「886」、「ㄅㄅ」。,開完會後，小李向同事們揮手道：「今天謝謝大家的參與，8181！」
87%,比喻事情無望或不會有好結果，表示失去希望或機會渺茫。,尬聊87%=沒戲
87分,形容兩個事物極為相似但又不完全相同，取自於滿分100分中接近的87分。,跟S7有87分像
87分，不能再高了,形容某個人或某件事有點愚蠢、不合常理，卻又讓人覺得好笑。表面上看起來像在稱讚，但實際上帶有吐槽的意味,昨天阿強穿拖鞋去參加正式宴會，這操作真的87分，不能再高了。
87趴,是一種用來形容事物相似度的數字表達方式，表示非常相似，但並非完全一樣，類似於「非常像」的意思。,這東西就跟虛擬貨幣有87趴像啊
88,英文「bye bye」，再見。也作「掰掰」、「881」、「8181」、「886」、「ㄅㄅ」。,小明對著朋友揮揮手說：「下次見，88！」
881,英文「bye bye」，再見。也作「掰掰」、「88」、「8181」、「886」、「ㄅㄅ」。如：「今天就先這樣！881。」,放學後我和朋友揮手說：「明天再見，881！」
886,英文「bye bye」與「囉」的諧音合稱「886」。也作「掰掰」、「88」、「881」、「8181」、「ㄅㄅ」。如：「那我先去趕車，大家886。」,聊天室裡的朋友們聊得意猶未盡，但時間不早了，我打了個哈欠，說道：「各位，我明天還要早起，886！」
94,「就是」的諧音。,你今天決定去哪家餐廳？94那家新開的日式料理店吧！
945,「就是我」的諧音。如：「這件事945做的。」,「昨天那篇文章是945寫的，大家都覺得很好。」
995,「救救我」的諧音。,我昨天加班崩潰得想吶喊「995」，心裡只想著誰能來解救我。
二外,「第二外語」的簡稱。台灣教育以英語為第一外語。需要多學習一門外語時，就會使用第二外語這個詞。,在大學期間，學生普遍選擇日語或法語作為二外，以增強他們的國際競爭力。
二次元,多用來指稱漫畫、動畫或遊戲作品中的虛構世界，與現實世界（又被稱為三次元）相對。,在壓力大的時候，我喜歡沉浸在二次元裡，欣賞漫畫和動畫，把煩惱拋諸腦後。
二創,二次創作，又稱再創作、衍生創作或二創，產生的作品稱為二次創作物。,他利用熱門動畫的角色進行二創，創作了不少受粉絲喜愛的同人漫畫。
人生勝利組,生活順遂的人。,小明從名校畢業後，順利找到高薪工作並且成為公司的高管，朋友們都稱他是「人生勝利組」。
人品,指運氣。來源自原義，因通常認為人的運氣和品格相關。,他的工作總是能在最後一刻出色完成，真是個人品大爆發的好例子。
人帥真好，人醜性騷擾,諷刺歧視外貌的現象,剛剛看到帥哥跟服務員搭話，她笑得很開心，旁邊大叔也試著搭話結果被瞪了一眼，果然是人帥真好，人醜性騷擾
人情保單,基於人情壓力而不得不購買的保單,雖然我並不需要這份保險，但因為是朋友推銷的，我只好買下這份人情保單。
人設,「人物設定」的簡稱。,她在社交媒體上塑造了一個完美的媽媽人設，吸引了很多粉絲關注。
人礦,指生下來就被當作消耗品使用的人。多用於自嘲,小粉紅以為自己高人一等，其實只是人礦一個
入坑,比喻開始涉足某個領域或參與某項活動，通常隱含其中可能有麻煩或讓人上癮的特性。,小明最近入坑收藏模型，每天花很多時間研究不同的套件和品牌。
力主,「極力主張」的簡稱。,在會議中，小王力主進行方案改進，以提高團隊的工作效率。
三小,台語漢字為「啥潲」，華語音譯，意旨「什麼」。是一種粗俗不雅的說法。,三小啦，為什麼我會考那麼低分。
三高男,三高男是起源於日本的詞語，其中「三高」意指一些女性對擇偶的主要三項條件：「高學歷」，「高收入」，「高身長」。,小美一直希望找到一位三高男，希望對方不僅高學歷、高收入，還要有高身長，滿足她對理想伴侶的嚴格標準。
三寶,原專指老人、女人及老女人，為性別和年齡歧視用語，後泛指所有在路上不遵守交通規則的人,他開車時總抱怨那些三寶，因為他們總是不遵守交通規則，讓道路變得更危險。
上車,即跟上某種風潮。,看到加密貨幣的熱潮後，小明趕快上車，希望能從中獲利。
上頭、下頭,「上頭」代表很有興致也被引伸為暈船的意思，「下頭」則代表掃興、清醒。,原本對她很上頭，後來才知道她常跟男生到處約，讓人超下頭。
下車,1.演藝人員從一節目離開，停止出演。 2.離開一個地方或狀態。,1. 在這季結束後，這位知名主持人決定下車，不再參加下一季的節目錄製。2. 經過長時間的思考與自我反省，他決定下車，離開這段讓他壓力巨大的職場環境。
下船,指放下自己心中的愛戀、放棄一段感情。,經過一番考慮後，她決定下船，開始重新規劃自己的生活。
口年,「可憐」的諧音。也作【可黏】。,當他看到路邊那隻受傷的小狗時，不禁感到一陣口年，於是決定帶它去醫治。
口誤,不小心說錯話或使用錯誤詞語的情況，通常是由於一時疏忽或緊張所致。,否則光是說口誤應該沒辦法安全下莊
大大,對人非正式的稱呼，多用於網路。,「大大，我這裡有個問題需要您的幫助，可以給我點建議嗎？」
大奶微微,大杯珍珠奶茶微糖微冰,天氣這麼熱，我想來一杯大奶微微，剛剛好解渴又不太甜。
大佬,對高手或資深者的敬稱,還請大佬接受小弟一拜，求大佬帶帶我
